URL,CCPA,gpc_json,usp_string_off,usp_off_version,usp_string_on,usp_on_version,Optanon_w/GPC=off,Optanon_w/GPC=on,packet_gpc_off,packets_gpc_on,percentage_change
ruckuswireless.com,TRUE,json_err,0,0,0,0,,,,,
sift.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
healthgrades.com,TRUE,NOT_FOUND,0,0,0,0,0,1,914,791,-13.45733042
squarecdn.com,TRUE,json_err,0,0,0,0,,,,,
bostonherald.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
ncaa.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
bgr.com,TRUE,NOT_FOUND,1---,1,1---,1,0,1,816,787,-3.553921569
texasmonthly.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
cookiepro.com,TRUE,NOT_FOUND,0,0,0,0,0,1,346,326,-5.780346821
nutanix.com,TRUE,NOT_FOUND,0,0,0,0,0,1,717,752,4.881450488
tennessean.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
indystar.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
lendingtree.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
hear.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
dianomi.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
theblaze.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
whattoexpect.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
dispatch.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
biblestudytools.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
comicbook.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,821,773,-5.846528624
recode.net,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
teamsnap.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
tivo.com,TRUE,NOT_FOUND,0,0,0,0,0,1,614,1060,72.63843648
mgo.com,TRUE,json_err,1YNN,1,1YYN,1,,,562,782,39.14590747
pgatour.com,TRUE,NOT_FOUND,0,0,0,0,0,1,871,646,-25.83237658
tenablesecurity.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
procore.com,TRUE,NOT_FOUND,0,0,0,0,0,1,818,764,-6.601466993
livenation.com,TRUE,NOT_FOUND,0,0,0,0,0,1,1163,1206,3.69733448
etonline.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,,756,680,-10.05291005
guitarcenter.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
oneplus.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
ritzcarlton.com,TRUE,NOT_FOUND,0,0,0,0,0,1,871,550,-36.85419059
ariba.com,TRUE,json_err,0,0,0,0,,,,,
ferrari.com,TRUE,json_err,0,0,0,0,0,1,1145,1228,7.248908297
nolo.com,TRUE,json_err,0,0,0,0,0,0,,,
abc7.com,TRUE,json_err,0,0,1YYY,1,0,1,604,686,13.57615894
evite.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
inside-graph.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
desmoinesregister.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
jcrew.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
vans.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
computerweekly.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
cincinnati.com,TRUE,NOT_FOUND,0,0,1---,1,,,,,
dummies.com,TRUE,json_err,0,0,0,0,,,,,
adpushup.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
levi.com,TRUE,json_err,0,0,0,0,0,1,802,744,-7.2319202
abcnews.com,TRUE,json_err,1YNY,1,1YYY,1,,,882,704,-20.1814059
syracuse.com,TRUE,NOT_FOUND,4,4,1---,1,0,0,,,
zimbra.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
ktla.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,31,893,2780.645161
loseit.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
fareharbor.com,TRUE,NOT_FOUND,0,0,0,0,0,1,432,144,-66.66666667
mgmresorts.com,TRUE,NOT_FOUND,0,0,0,0,0,1,810,811,0.12345679
wendys.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
solarwinds.com,TRUE,NOT_FOUND,0,0,0,0,0,1,1007,952,-5.461767627
tvguide.com,TRUE,NOT_FOUND,1YNY,1,1YYY,1,0,1,797,806,1.12923463
lpl.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
northwesternmutual.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
infoplease.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
interestingengineering.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
buffalonews.com,TRUE,NOT_FOUND,1YN-,1,1YY-,1,,,664,909,36.89759036
ravenjs.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
wtop.com,TRUE,NOT_FOUND,0,0,0,0,0,1,864,873,1.041666667
courant.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
mydomain.com,TRUE,json_err,0,0,0,0,0,1,804,743,-7.587064677
statesman.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
csoonline.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
pennlive.com,TRUE,NOT_FOUND,4,4,4,4,0,0,,,
wikia-services.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,,,691,801,15.91895803
htcsense.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
easeus.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
ralphlauren.com,TRUE,json_err,0,0,0,0,0,1,594,758,27.60942761
chime.com,TRUE,NOT_FOUND,0,0,0,0,0,1,749,681,-9.078771696
accorhotels.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
cinemark.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
northjersey.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
masslive.com,TRUE,NOT_FOUND,1---,1,1---,1,0,0,,,
secureanalytic.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
westerndigital.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
dunkindonuts.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
yourtango.com,TRUE,NOT_FOUND,1YNY,1,1YYY,1,,,747,731,-2.141900937
shopdisney.com,TRUE,NOT_FOUND,0,0,0,0,0,1,1097,1364,24.33910665
goodmorningamerica.com,TRUE,NOT_FOUND,1YNY,1,1YYY,1,0,1,613,778,26.91680261
orientaltrading.com,TRUE,NOT_FOUND,1-N-,1,1-Y-,1,,,535,721,34.76635514
f5.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
bizrate.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
coxautoinc.com,TRUE,NOT_FOUND,0,0,0,0,0,1,758,785,3.562005277
decider.com,TRUE,NOT_FOUND,1---,1,1---,1,0,0,,,
uhaul.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
